Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,Year
IR-O-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,53.66,54,66.21,32.44,72.82,68.16,26.88,2024
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,53.47,55,65.13,39.14,79.78,53.33,8.99,2024
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,53.38,56,55.91,45.68,75.08,55.39,23.48,2024
IR-O-U-0052,Gauhati University,Guwahati,Assam,53.28,57,71.82,24.11,88.28,60.98,7.42,2024
IR-O-U-0498,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,53.26,58,69.31,25.46,80.94,78.63,7.82,2024
IR-O-U-0564,UPES,Dehradun,Uttarakhand,53.05,59,64.11,41.19,60.62,65.76,27.62,2024
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,52.99,60,54.31,42.01,74.07,63.38,29.55,2024
IR-O-U-0572,Indian Institute of Science Education and Research Kolkata,Mohanpur,West Bengal,52.91,61,68.89,39.53,66.79,54.52,15.73,2024
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,52.83,62,68.66,34.45,70.2,66.17,12.32,2024
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,52.72,63,74.46,26.12,63.1,61.74,37.45,2024
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,52.58,64,69.31,38.5,65.47,53.22,18.27,2024
IR-O-U-0377,Indian Institute of Science Education and Research Mohali,Mohali,Punjab,52.58,64,67.38,32.89,70.81,66.14,17.34,2024
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,52.38,66,63.18,37.87,67.5,56.65,29.07,2024
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,52.3,67,71.36,37.27,70.97,51.09,4.09,2024
IR-O-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,52.24,68,71.5,34.91,63.56,67.12,8.99,2024
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,52.14,69,71.14,31.25,79.72,51.14,3.66,2024
IR-O-U-0027,Osmania University,Hyderabad,Telangana,52.02,70,64.75,28.77,85.33,58.05,10.87,2024
IR-O-U-0295,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,51.75,71,71.49,38.33,61.26,64.14,1.41,2024
IR-O-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,51.68,72,65.48,38.39,61.96,70.37,10.87,2024
IR-O-U-0064,Indian Institute of Technology Patna,Patna,Bihar,51.24,73,60.25,42.04,70.12,54.1,11.24,2024
IR-O-U-0691,All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,51.22,74,74.07,35.35,50.68,69.13,13.37,2024
IR-O-U-0574,"Indian Statistical Institute, Kolkata",Kolkata,West Bengal,51.1,75,68.05,32.99,67.59,45.27,27.37,2024
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,51.07,76,65.88,35.3,73.76,51.91,7.82,2024
IR-O-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,51.03,77,62.96,37.25,68.6,55.82,16.7,2024
IR-O-U-0272,Indian Institute of Science Education and Research Bhopal,Bhopal,Madhya Pradesh,50.94,78,69.14,31.99,65.96,67.87,6.2,2024
IR-O-U-0555,Graphic Era University,Dehradun,Uttarakhand,50.58,79,59.9,33.86,62.93,66.08,32.5,2024
IR-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,50.55,80,74.19,32.43,64.12,49.58,7.82,2024
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,50.43,81,61.3,39.4,67.32,57.14,10.5,2024
IR-O-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,50.41,82,58.02,42.66,69.7,52.47,10.13,2024
IR-O-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,49.94,83,72.7,33.93,56.36,60.62,6.2,2024
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,49.59,84,74.0,24.83,64.38,65.17,5.37,2024
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,49.52,85,59.05,36.3,63.32,70.64,11.96,2024
IR-O-U-0235,Mysore University,Mysuru,Karnataka,49.45,86,70.8,19.35,79.51,57.96,7.02,2024
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,49.4,87,72.95,23.43,74.91,52.72,2.32,2024
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,48.98,88,72.12,27.45,62.81,56.24,9.37,2024
IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,48.95,89,54.64,39.24,68.7,65.98,4.52,2024
