Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,Year
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,87.59,1,86.56,91.98,89.36,62.95,98.75,2022
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,83.57,2,82.08,87.45,84.8,57.46,100,2022
IR-O-U-0306,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,82.35,3,85.55,84.09,83.08,59.54,88.8,2022
IR-O-I-1074,"Indian Institute of Technology, Delhi",New Delhi,Delhi,82.22,4,81.98,84.81,79.36,70.07,93.08,2022
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.83,5,86.9,70.55,83.89,60.26,77.86,2022
IR-O-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,75.94,6,77.66,75.66,81.92,55.85,79.82,2022
IR-O-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,71.48,7,77.22,67.03,84.42,64.36,48.84,2022
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.75,8,78.29,63.54,83.26,59.58,45.93,2022
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,69.57,9,75.57,60.39,72.67,67.37,75.15,2022
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.25,10,71.95,45.55,95.27,70.27,59.19,2022
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.81,11,69.9,43.91,97.74,57.32,53.95,2022
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,63.85,12,63.57,53.73,90.1,56.86,49.53,2022
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,63.62,13,68.16,47.38,92.46,81.14,23.57,2022
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,62.86,14,73.43,53.18,71.53,56.73,49.01,2022
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.57,15,67.46,40.85,95.48,61.9,37.86,2022
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.54,16,69.8,50.06,74.09,69.53,38.09,2022
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,61.23,17,70.53,51.07,78.15,64.81,26.37,2022
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,60.14,18,52.72,59.82,79.43,59.07,45.74,2022
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,59.86,19,69.21,43.04,88.92,56.29,27.85,2022
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,59.67,20,70.94,40.18,83.97,63.5,31.99,2022
IR-O-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,58.95,21,60.73,45.71,75.74,66.48,52.2,2022
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,58.08,22,53.32,53.15,74.97,49.3,62.1,2022
IR-O-U-0120,University of Delhi,Delhi,Delhi,57.63,23,43.11,52.82,91.85,58.87,45.93,2022
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,57.26,24,63.97,44.36,78.31,63.96,26.97,2022
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,56.99,25,63.66,41.64,92.44,52.07,16.97,2022
IR-O-U-0305,"Indian Institute of Science Education & Research, Pune",Pune,Maharashtra,56.91,26,71.66,44.18,65.43,62.94,27.85,2022
IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,56.74,27,59.32,45.14,75.55,64.44,38.54,2022
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,56.16,28,59.27,50.58,79.61,54.5,18.45,2022
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,55.85,29,54.43,50.31,74.26,56.63,39.21,2022
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,55.42,30,68.3,35.58,73.45,68.4,27.26,2022
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,55.13,31,62.47,49.93,72.44,52.99,16.21,2022
IR-O-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,55.1,32,59.27,46.74,73.45,58.76,27.26,2022
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,54.85,33,72.51,45.25,68.93,52.01,5.31,2022
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,54.35,34,69,30.2,75.13,77.86,17.71,2022
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,54.29,35,75.19,33.66,65.71,64.34,20.57,2022
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,53.99,36,57.91,45.28,71.41,62.54,25.15,2022
IR-O-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,Gujarat,53.92,37,67.9,39.04,65.84,66.49,20.23,2022
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.87,38,51.07,54.66,71.79,54.34,23.57,2022
IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,53.77,39,59.35,49.09,68.7,56.9,18.08,2022
IR-O-U-0572,"Indian Institute of Science Education & Research, Kolkata",Mohanpur,West Bengal,52.35,40,63.56,39.42,66.2,56.59,25.46,2022
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,51.23,41,48.43,43.18,74.62,60.73,27.56,2022
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,51.07,42,49.57,47.89,70.35,64.17,13.43,2022
IR-O-U-0184,"Indian Institute of Technology, Mandi",Mandi,Himachal Pradesh,51.05,43,62.79,37.25,65.56,67.01,12.18,2022
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,50.81,44,56.29,43.01,69.46,65.97,5.31,2022
IR-O-U-0025,National Institute of Technology Warangal,Warangal,Telangana,50.61,45,57.73,35.23,73.48,55.14,25.15,2022
IR-O-U-0027,Osmania University,Hyderabad,Telangana,50.6,46,60.22,30.41,79.98,56.37,17.71,2022
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,50.55,47,63.85,32.08,62.89,71.44,20.57,2022
IR-O-U-0747,Chandigarh University,Mohali,Punjab,50.39,48,63.04,22.16,69.27,78.62,31.19,2022
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,50.33,49,61.35,38.23,67.66,59.74,9.57,2022
IR-O-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,49.97,50,60.1,26.46,71.2,74.72,22.92,2022
IR-O-U-0262,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,49.89,51,65.16,36.16,70.48,51.18,2.74,2022
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,49.87,52,65.23,20.29,94.4,51.07,2.21,2022
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,49.73,53,61.66,32.63,72.21,51.56,18.45,2022
IR-O-U-0235,Mysore University,Mysuru,Karnataka,49.71,54,68.9,16.81,90.68,53.79,4.8,2022
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,49.71,54,61.22,36.63,67.04,56.83,12.6,2022
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,49.71,54,68.18,26.11,63.63,68.18,18.81,2022
IR-O-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,49.65,57,49.86,44.83,70.57,55.09,16.21,2022
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,49.54,58,56.4,34.71,66.11,69.33,20.57,2022
IR-O-U-0064,"Indian Institute of Technology, Patna",Patna,Bihar,49.47,59,62.04,39.31,62.25,51.98,14.24,2022
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,49.31,60,68.12,21.4,69.04,69.37,16.97,2022
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,49.29,61,66.74,29.19,64.82,66.84,8.66,2022
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,49.22,62,65.62,17.8,74.9,66.57,25.46,2022
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,49.03,63,57.93,32.46,66.55,57.34,28.71,2022
IR-O-U-0052,Gauhati University,Guwahati,Assam,48.98,64,59.42,21.66,89.82,58.19,8.66,2022
IR-O-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,48.46,65,53.86,38.2,65.46,60.45,16.97,2022
IR-O-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,48.45,66,50.01,39.35,70.44,48.26,27.26,2022
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.09,67,56.99,29.87,65.82,65.05,23.57,2022
IR-O-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,48.05,68,53.53,39.28,70.53,54.61,6.29,2022
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,48.02,69,57.05,32.57,73.37,51.63,13.02,2022
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,48.01,70,56.58,32.35,71.3,52.41,18.45,2022
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,47.97,71,54.05,25.8,85.7,53.73,15.04,2022
IR-O-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,47.9,72,53.96,35.16,70.09,57.15,14.24,2022
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,47.72,73,64.75,18.38,83.3,57.39,3.78,2022
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,47.5,74,56.93,30.15,70.35,60.93,12.18,2022
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,47,75,66.33,26.31,63.36,55.83,9.57,2022
IR-O-U-0055,"National Institute of Technology, Silchar",Silchar,Assam,46.76,76,52.26,36.84,68.43,57.1,6.29,2022
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,46.76,76,69.78,19.22,64.27,61.3,10.89,2022
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,46.39,78,53.54,19.68,82.46,74.59,4.8,2022
IR-O-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,46.36,79,65.93,15.51,61.55,72.34,23.89,2022
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,46.31,80,51.06,28.73,78.53,56.6,10.01,2022
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,46.15,81,55.16,22.52,82.54,55.95,7.26,2022
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,46.14,82,57.72,32.56,61.8,48.1,18.81,2022
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,46.08,83,69.68,17.07,64.33,65.08,6.78,2022
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,45.98,84,60.58,21.23,79.56,51.37,3.78,2022
IR-O-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,45.85,85,57.67,27.88,66.39,64.32,4.8,2022
IR-O-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,45.81,86,64.36,26.23,60.4,61.19,4.3,2022
IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,45.8,87,53.01,15.98,84.96,75.83,5.31,2022
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,45.77,88,63.33,24.04,65.24,52.47,12.6,2022
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,45.68,89,68.42,17.66,64.52,62.17,7.26,2022
IR-O-U-0056,Tezpur University,Tezpur,Assam,45.59,90,59.71,27.49,63.29,50.67,16.97,2022
IR-O-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,45.27,91,51.72,38.69,60.72,56.19,3.78,2022
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,45.21,92,65.25,23.54,59.6,65.38,1.12,2022
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,45.11,93,64.9,19.12,74.83,46.63,2.74,2022
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,44.94,94,63.53,20.75,64.7,61.38,5.8,2022
IR-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,44.73,95,56.2,23.15,70.31,64.28,4.3,2022
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,44.69,96,53.14,30.69,63.87,52.73,15.04,2022
IR-O-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,44.65,97,56.69,19.48,60.48,65.01,31.99,2022
IR-O-U-0215,Bangalore University,Bangalore,Karnataka,44.53,98,58.7,17.38,74.73,57.04,10.45,2022
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,44.52,99,56.66,10.45,78.36,75.42,11.75,2022
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,44.35,100,58.94,27.28,61.1,58.36,4.3,2022
