Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,Year
IR-1-O-O-U-0220,"Indian Institute of Science",Bengaluru,Karnataka,82.16,1,84.54,91.08,75.48,43.7,100,2018
IR-2-O-OE-U-0456,"Indian Institute of Technology Madras",Chennai,Tamil Nadu,81.39,2,82.49,81.42,85.36,64.81,86.61,2018
IR-3-O-OEM-U-0306,"Indian Institute of Technology Bombay",Mumbai,Maharashtra,79.2,3,81.34,85.59,81.53,48.53,79.61,2018
IR-3-O-OEM-I-1074,"Indian Institute of Technology Delhi",New Delhi,Delhi,73.97,4,73.38,78.67,74.91,60.96,72.79,2018
IR-5-O-OEMAL-U-0573,"Indian Institute of Technology Kharagpur",Kharagpur,West Bengal,71.39,5,67.96,74.57,83.99,56.16,62.12,2018
IR-1-O-O-U-0109,"Jawaharlal Nehru University",New Delhi,Delhi,67.57,6,74.71,42.6,99.12,79.32,46.28,2018
IR-3-O-OEM-I-1075,"Indian Institute of Technology Kanpur",Kanpur,Uttar Pradesh,65.39,7,71.71,68.63,62.76,39.81,67.59,2018
IR-4-O-OEMA-U-0560,"Indian Institute of Technology Roorkee",Roorkee,Uttarakhand,64.93,8,65.88,61.59,85.29,58.65,37.56,2018
IR-3-O-OMD-U-0500,"Banaras Hindu University",Varanasi,Uttar Pradesh,63.52,9,65.15,50.76,95.42,53.13,43.62,2018
IR-4-O-OEMA-U-0439,"Anna University",Chennai,Tamil Nadu,62.82,10,57.31,60.76,79.15,52.55,63.22,2018
IR-1-O-O-U-0042,"University of Hyderabad",Hyderabad,Telangana,60.54,11,74.36,45.34,84.45,55.71,21.66,2018
IR-2-O-OE-U-0053,"Indian Institute of Technology Guwahati",Guwahati,Assam,60.16,12,79.25,52.13,63.2,52.97,28.01,2018
IR-2-O-OE-U-0575,"Jadavpur University",Kolkata,West Bengal,59.68,13,57.08,57.07,91.39,36,35.5,2018
IR-1-O-O-U-0120,"University of Delhi",Delhi,Delhi,58.69,14,52.52,58.16,85.14,51.26,33.15,2018
IR-1-O-O-U-0436,"Amrita Vishwa Vidyapeetham",Coimbatore,Tamil Nadu,58.46,15,74.05,43.56,71.03,58.27,31.44,2018
IR-1-O-O-U-0323,"Savitribai Phule Pune University",Pune,Maharashtra,58.24,16,70.7,43.64,84.55,55.29,15.04,2018
IR-7-O-OEMALDC-U-0496,"Aligarh Muslim University",Aligarh,Uttar Pradesh,57.78,17,70.28,36.87,90.56,49.03,26.3,2018
IR-1-O-O-U-0234,"Manipal Academy of Higher Education",Manipal,Karnataka,57.37,18,76.05,44.15,61.29,64.23,26.3,2018
IR-5-O-OEMAL-U-0108,"Jamia Millia Islamia",New Delhi,Delhi,56.18,19,72.33,33.21,82.27,68.86,11.76,2018
IR-1-O-C-U-0447,"Bharathiar University",Coimbatore,Tamil Nadu,55.08,20,65.54,41.7,76.95,52.63,22.63,2018
IR-1-O-O-U-0570,"Calcutta University",Kolkata,West Bengal,53.38,21,45.47,50.26,86.81,46.72,26.3,2018
IR-2-O-OE-U-0013,"Indian Institute of Technology Hyderabad",Hyderabad,Telangana,53.07,22,71.72,35.33,65.12,57.08,22.15,2018
IR-1-O-D-U-0523,"King George`s Medical University",Lucknow,Uttar Pradesh,52.73,23,83.08,29.71,62.7,59.66,3.93,2018
IR-3-O-OEM-U-0490,"Vellore Institute of Technology",Vellore,Tamil Nadu,52.68,24,50.3,47.42,68.43,60.02,36.71,2018
IR-1-O-O-U-0572,"Indian Institute of Science Education & Research Kolkata",Mohanpur,West Bengal,52.52,25,70.87,35.6,65.91,62.92,11.13,2018
IR-3-O-OEP-U-0391,"Birla Institute of Technology & Science",Pilani,Rajasthan,52.15,26,61.02,35.56,69.33,57.73,35.32,2018
IR-2-O-OE-U-0205,"Indian Institute of Technology (Indian School of Mines) Dhanbad",Dhanbad,Jharkhand,52.04,27,54.46,44.24,74.36,61.08,14.46,2018
IR-1-O-E-U-0701,"Indian Institute of Technology (Banaras Hindu University) Varanasi",Varanasi,Uttar Pradesh,51.85,28,57.85,48.53,67,42.5,22.87,2018
IR-1-O-O-I-1357,"University of Madras",Chennai,Tamil Nadu,51.52,29,66.06,33.4,68.6,53.07,26.52,2018
IR-3-O-OEP-U-0308,"Institute of Chemical Technology",Mumbai,Maharashtra,51.39,30,53.82,48.52,69.18,52.55,15.9,2018
IR-2-O-OE-U-0467,"National Institute of Technology Tiruchirappalli",Tiruchirappalli,Tamil Nadu,51.38,31,57.09,34.41,69.99,60.81,38.55,2018
IR-1-O-O-U-0305,"Indian Institute of Science Education & Research Pune",Pune,Maharashtra,51.04,32,66.57,33.04,61.4,62.86,25.85,2018
IR-6-O-OEMLDP-U-0078,"Panjab University",Chandigarh,Chandigarh,50.94,33,52.59,44.75,73.16,47.52,23.58,2018
IR-1-O-M-S-8972,"Indian Institute of Management Calcutta",Kolkata,West Bengal,50.87,34,82.44,14.54,61.99,66.05,27.8,2018
IR-1-O-O-U-0446,"Bharath Institute of Higher Education & Research",Chennai,Tamil Nadu,50.74,35,70.22,29.22,63.76,79.16,2.4,2018
IR-6-O-OEMALP-U-0006,"Andhra University",Visakhapatnam,Andhra Pradesh,50.39,36,65.98,25.12,83.14,54.75,9.53,2018
IR-5-O-OEMDP-U-0107,"Jamia Hamdard",New Delhi,Delhi,50.31,37,67.67,32.29,74.48,52.2,2.01,2018
