Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,Year
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,83.88,1,84.56,83.53,87.13,66.08,94.14,2019
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.28,2,83.16,89.24,78.57,48.47,100,2019
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,78.69,3,78.3,82.98,79.14,58.58,86.14,2019
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,78.62,4,76.95,84.36,82.31,50.68,86.92,2019
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,74.31,5,67.36,76.65,86.17,60.63,78.11,2019
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,69.07,6,71.95,69.61,69.96,50.39,75.68,2019
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,68.68,7,76.75,41.85,99.87,75.87,55.27,2019
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,67.68,8,67.32,65.08,87.14,61.64,43.66,2019
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,65.47,9,76.79,56.58,73.87,60.63,46.34,2019
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.55,10,69.72,46.48,96.37,57.01,47.28,2019
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,61.85,11,74.81,43.78,83.64,58.77,36.71,2019
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,60.87,12,62.26,47.1,91.54,60.14,37.39,2019
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.53,13,54.4,54.89,90.28,44.95,51.83,2019
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,60.35,14,56.39,54.1,78.07,53.16,62.72,2019
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.22,15,73.03,43.77,70.28,70.23,31.01,2019
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.5,16,77.91,38.31,69.71,66.78,30.21,2019
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.4,17,69.26,44.42,86.04,54.34,16.55,2019
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.36,18,76.69,35.38,85.67,57.56,18.46,2019
